org_id	remap_id
Joseph Mazzello	122
Ariana Richards	123
Thomas Rosales	124
Camilla Belle	125
Cyndi Strittmatter	126
Robin Sachs	127
Elliot Goldwag	128
J. Patrick McCormack	129
Ross Partridge	130
Ian Abercrombie	131
David Sawyer	132
Geno Silva	133
Alex Miranda	134
Ian Zajonc	135
Kenyon Williams	136
Alan Purwin	137
Bob Boehm	138
Bradley Jensen	139
Rick Wheeler	140
Ben Skorstad	141
Gordon Michaels	142
J. Scott Shonka	143
Harry Hutchinson	144
Bill Brown	145
Brian Turk	146
Jim Harly	147
Colton James	148
Carey Eidel	149
Katy Boyer	150
David Koepp	151
Eugene Bass	152
Bari Buckner	153
P.B. Hutton	154
David St. James	155
Mark Brady	156
Marjean Holden	157
Jaqueline Schultz	158
Domini Hoffman de Saldago	159
Thomas Stuart	160
C. Ransom Walrod	161
David Gene Gibbs	162
Michael N. Fujimoto	163
Paul Fujimoto	164
Darryl A. Imai	165
Darryl Oumi	166
Vincent Dee Miles	167
David Rosiak	168
Mark Pellegrino	169
Tommy Lee Jones	172
Will Smith	173
Linda Fiorentino	174
Vincent D'Onofrio	175
Rip Torn	176
Tony Shalhoub	177
Siobhan Fallon	178
Mike Nussbaum	179
Sergio Calderon	180
Carel Struycken	181
Michael Willis	182
Richard Hamilton	183
Kent Faulcon	184
Bernard Gilkey	185
Jonathan Gries	186
Fredric Lane	187
Sean Whalen	188
Vincent D'Onofio	189
Tom Hanks	191
Tom Sizemore	192
Jeremy Davies	193
Edward Burns	194
Giovanni Ribisi	195
Barry Pepper	196
Matt Damon	197
Adam Goldberg	198
Ted Danson	199
Vin Diesel	200
Paul Giamatti	201
Dennis Farina	202
Harve Presnell	203
Bryan Cranston	204
Nathan Fillion	205
Keanu Reeves [Neo]	209
Laurence Fishburne [Morpheus]	210
Carrie-Anne Moss [Trinity]	211
Hugo Weaving [Agent Smith]	212
Joe Pantoliano [Cypher]	213
Gloria Foster	214
Marcus Chong [Tank]	215
Anthony Ray Parker [Dozer]	216
Belinda McClory [Switch]	217
Julian Arahanga [Apoc]	218
Matt Doran [Mouse]	219
Paul Goddard	220
Robert Taylor (II)	221
Peter Cushing	224
James Earl Jones	225
Phil Brown	226
Shelagh Fraser	227
Jack Purvis	228
Alex McCrindle	229
Eddie Byrne	230
Drewe Henley	231
Denis Lawson	232
Garrick Hagon	233
Jack Klaff	234
William Hootkins	235
Angus MacInnes	236
Jeremy Sinden	237
Graham Ashley	238
Don Henderson	239
Leslie Schofield	240
Richard LeParmentier	241
Bruce Willis [Dr. Malcolm Crowe]	244
Haley Joel Osment [Cole Sear]	245
Toni Collette [Lynn Sear]	246
Olivia Williams [Anna Crowe]	247
Donnie Wahlberg	248
Mischa Barton	249
Trevor Morgan	250
Glenn Fitzgerald	251
Tom Hanks [the voice of Woody]	255
Tim Allen [the voice of Buzz Lightyear]	256
Don Rickles [the voice of Mr. Potato Head&#174;]	257
Jim Varney [the voice of Slinky&#174; Dog]	258
Wallace Shawn [the voice of Rex]	259
Annie Potts [the voice of Bo Peep]	260
Jodi Benson [the voice of Barbie&#174;]	261
Joan Cusack [the voice of Jessie]	262
R. Lee Ermey [the voice of Sergeant]	263
Kelsey Grammer [the voice of The Prospector]	264
Estelle Harris [the voice of Mrs. Potato Head&#174;]	265
Wayne Knight [the voice of Al]	266
Laurie Metcalf [the voice of Mom]	267
John Morris [the voice of Andy]	268
David Ogden Stiers	269
Gary Sinise	274
Mykelti Williamson	275
Sally Field	276
David Brisbin	277
Peter Dobson	278
Robin Wright Penn	279
Haley Joel Osment	280
Russell Crowe [Maximus]	283
Joaquin Phoenix [Emperor Commodus]	284
Richard Harris [Emperor Marcus Aurelius]	285
Connie Nielsen [Lucilla]	286
Djimon Hounsou [Juba]	287
Derek Jacobi	288
Oliver Reed [Proximo]	289
Ralph Moeller	290
Tomas Arana	291
Ralf Moeller [Gladiators Hagen]	292
Spencer Treat Clark	293
Tommy J. Flanagan	294
Jonathan Taylor Thomas	299
Matthew Broderick	300
Whoopi Goldberg	301
Rowan Atkinson	302
Sam Neill	306
Laura Dern	307
Samuel L Jackson	308
Wayne Knight	309
Bob Peck	310
Martin Ferrero	311
Macaulay Culkin	314
Joe Pesci	315
Daniel Stern	316
John Heard	317
Catherine O'Hara	318
Kristin Minter	319
Peter Siragusa	320
Roberts Blossom	321
Arnold Schwarzenegger	324
Linda Hamilton	325
Edward Furlong	326
Robert Patrick	327
Earl Boen	328
Joe Morton	329
S. Epatha Merkerson	330
Castulo Guerra	331
Jenette Goldstein	332
Xander Berkeley	333
Michael Keaton [Batman]	336
Jack Nicholson [The Joker]	337
Kim Basinger [Vicki Vale]	338
Jack Palance [Grissom]	339
Jerry Hall	340
Pat Hingle	341
Michael Gough	342
Robert Wuhl	343
Tracey Walter	344
Bill Pullman	347
Margaret Colin	348
Judd Hirsch	349
Randy Quaid	350
Vivica A. Fox	351
Mary McDonnell	352
James Rebhorn	353
Harvey Fierstein	354
Robert Loggia	355
Harry Connick	356
James Duval	357
John Storey	358
Andrew Keegan	359
Julie Moran	360
Nectar Rose	361
Brenda Blethyn	364
Claire Rushbrook	365
Marianne Jean-Baptiste	366
Timothy Spall	367
Kate Winslet	370
Christopher Eccleston	371
Rachel Griffiths	372
June Whitfield	373
Liam Cunningham	374
Thomas Hardy	375
Edward Norton	378
Natasha Lyonne	379
Drew Barrymore	380
Alan Alda	381
Gaby Hoffmann	382
Natalie Portman	383
Lukas Haas	384
Goldie Hawn	385
Julia Roberts	386
Tim Roth	387
Christy Romano	388
Ralph Fiennes	391
Juliette Binoche	392
Kristin Scott Thomas	393
Willem Dafoe	394
Naveen Andrews	395
Colin Firth	396
Julian Wadham	397
Jurgen Prochnow	398
Kevin Whately	399
Clive Merrison	400
Nino Castelnuovo	401
Hichem Rostom	402
Peter Ruhring	403
Geordie Johnson	404
Torri Higginson	405
Lusa Repo-Martell	406
Raymond Coulthard	407
Philip Whitchurch	408
Lee Ross	409
Anthony Smee	410
Michael Ferguson	411
Jason Done	412
Roger Morlidge	413
Sebastian Sherlock	414
Fritz Eggert	415
Sebastian Schipper	416
Sonia Mankai	417
Rim Turki	418
Sebastian Rudolph	419
Thoraya Sehill	420
Sondess Belhassen	421
Dominic Mafham	422
Gregor Truter	423
Salah Miled	424
Abdellatif Hamrouni	425
Samy Azaiez	426
Habib Chetoui	427
Phillipa Day	428
Amanda Walker	429
Paul Kant	430
James Spader	433
Peter Gallagher	434
Laura San Giacomo	435
Andie MacDowell	436
Anthony Perkins	439
Janet Leigh	440
Martin Balsam	441
Vera Miles	442
John Gavin	443
John McIntire	444
Simon Oakland	445
Vaughn Taylor	446
Frank Albertson	447
Lurene Tuttle	448
John Anderson	449
Mort Mills	450
George Eldredge	451
Sam Flint	452
Helen Wallace	453
Ted Knight	454
Virginia Gregg	455
Diane Keaton	458
Shelley Duvall	459
Tony Roberts	460
Paul Simon	461
Carol Kane	462
Mariel Hemingway	464
Meryl Streep	465
Michael Murphy	466
Anne Byrne	467
Karen Ludwig	468
Michael O'Donoghue	469
Marcello Mastroianni	472
Claudia Cardinale	473
Anouk Aimée	474
Mario Pisu	475
Barbara Steele	476
Sandra Milo	477
Rosella Falk	478
Bill Murray	481
Chris Elliott	482
Stephen Tobolowsky	483
Brian Doyle Murray	484
Marita Geraghty	485
Angela Paton	486
Rick Ducommun	487
Robin Duke	488
Daniel Day-Lewis	491
Lena Olin	492
Derek De Lint	493
Stellan Skarsgard	494
Nastassja Kinski	497
Harry Dean Stanton	498
Dean Stockwell	499
Aurore Clement	500
Hunter Carson	501
John Lurie	502
Tippi Hedren	504
Rod Taylor	505
Jessica Tandy	506
Suzanne Pleshette	507
Veronica Cartwright	508
Charles McGraw	509
Ethel Griffies	510
Ruth McDevitt	511
Malcolm Atterbury	512
Lonny Chapman	513
Suzanne Heshette	514
Tippi Hedron	515
Nicole Kidman	518
Barbara Hershey	519
John Malkovich	520
Martin Donovan	521
Mary-Louise Parker	522
Richard E. Grant	523
Shelly Duvall	524
John Gielgud	525
John Malkovitch	526
Val Kilmer [Batman]	529
Jim Carrey [The Riddler]	530
Tommy Lee Jones [Two-Face]	531
Nicole Kidman [Chase Meridian]	532
Chris O'Donnell	533
Drew Barrymore [Sugar]	534
Debi Mazar	535
George Wallace	536
Kimberly Scott	537
George Clooney	540
Marcel Iures	541
Alexander Baluyev	542
Rene Medvesek	543
Gary Werntz	544
Randall Batinkoff	545
Jim Haynie	546
Alexander Strobele	547
Holt McCallany	548
Michael Boatman	549
Joan Copeland	550
Carlos Gomez	551
Armin Mueller-Stahl	552
Skako Juraga	553
Alexander Peskov	554
Dejan Acimovic	555
Harsh Nayyar	556
Matt Adler	557
Tamara Tunie	558
Alexander Yatsko	559
Bruce MacVittie	560
Lunoir Paulovic	561
Charles Dumas	562
Ramsey Faragallah	563
Murphy Guyer	564
Leslie Dilley	565
David S. Lomax	566
Adina Porter	567
Hubert Kramer	568
Alma Cuervo	569
Sebastian Roche	570
Blaise Corrigan	571
Gordon Catlin	572
John Ottavio	573
Goran Visnjic	574
Jay Acovone	575
Hannah Werntz	576
James Colby	577
Ethan Hawke	580
Alan Arkin	581
Jude Law	582
Loren Dean	583
Gore Vidal	584
Jayne Brook	585
Elias Koteas	586
Maya Rudolph	587
Una Damon	588
Elizabeth Dennehy	589
Blair Underwood	590
Mason Gamble	591
Vincent Nielson	592
Chad Christ	593
William Lee Scott	594
Clarence Graham	595
Ernest Borgnine	596
Carlton Benbry	597
Grace Sullivan	598
Ken Marino	599
Cynthia Martells	600
Gabrielle Reece	601
Ryan Dorin	602
Dean Norris	603
Russell Milton	604
George Marshall Ruge	605
Steve Bessen	606
Lindsey Lee Ginter	607
Wesley Snipes	610
Kyle MacLachlan	611
Ming-Na Wen	612
Robert Downey	613
Marcus Paulk	614
Natalie Trott	615
John Calley	616
Glenn Plummer	617
Amanda Donohoe	618
Zoe Nathenson	619
Thomas Haden Church	620
Vincent Ward	621
John Ratzenberger	622
Thomas Kopache	623
Annabelle Gurwitch	624
Susan Barnes	625
Malissa Jonas	626
Margaret Makinen	627
Edita Brychta	628
Hans Tester	629
Richard Paradise	630
Joe Drago	631
Johanna Torell	632
Julian Sands	633
Donovan Leitch	634
Ione Skye	635
Gwyneth Paltrow	638
John Hannah	639
John Lynch	640
Jeanne Tripplehorn	641
Douglas McFerran	642
Neil Stuke	643
Emma Thompson	647
Alan Rickman	648
Hugh Grant	649
Gemma Jones	650
Greg Wise	651
Harriet Walter	652
Imogen Stubbs	653
Hank Azaria	656
Chris Cooper	657
Anne Bancroft	658
Robert De Niro	659
Josh Mostel	660
Kim Dickens	661
Nell Campbell	662
Gabriel Mick	663
Jeremy James Kissner	664
Raquel Beaudene	665
Stephen Spinella	666
Marla Sucharetza	667
Isabelle Anderson	668
Jessica Lange	671
Nina Foch	672
Hal Holbrook	673
Johnathon Schaech	674
Leonardo DiCaprio	678
Nick Richert	679
Edward Albert	680
Jeremy Irons	681
Dana Barron	682
Gérard Depardieu	683
Timothy Bottoms	684
Brigid Conley Walsh	685
Gabriel Byrne	686
Anne Parillaud	687
Fannie Brett	688
Judith Godreche	689
Meg Foster	690
Edward Atterton	691
James Gammon	692
Dennis Hayden	693
Peter Sarsgaard	694
Hugh Laurie	695
David Lowe	696
Rex Ryon	697
Brigitte Boucher	698
Matthew Jocelyn	699
Karine Belly	700
Emmanuel Guttierez	701
Christian Erickson	702
Francois Montagut	703
Andrew Wallace	704
Cecile Auclert	705
Sonia Backers	706
Vincent Nemeth	707
Joe Sheridan	708
Olivier Hemon	709
Michael Morris	710
Emmanuel Patron	711
Leonor Valera	712
Michael Hofland	713
Laura Fraser	714
Brigitte Auber	715
Jean-Pol Brissart	716
Viggo Mortensen	719
David Suchet	720
Sarita Choudhury	721
Janet Margolin	723
Marcel Hillaire	724
Jacquelyn Hyde	725
Jan Merlin	726
James Anderson	727
Howard Storm	728
Mack Gordon	729
Jack MacGowran	732
Jason Miller	733
Ellen Burstyn	734
Linda Blair	735
Max Von Sydow	736
Lee J. Cobb	737
Kitty Winn	738
Ralph Fiennes [John Steed]	742
Uma Thurman [Emma Peel]	743
Sean Connery [Sir August]	744
Jim Broadbent	745
Eddie Izzard	746
Eileen Atkins	747
Mia Farrow	750
John Cassavetes	751
Ruth Gordon	752
Ralph Bellamy	753
Sidney Blackmer	754
Maurice Evans	755
Victoria Vetri	756
Patsy Kelly	757
Charles Grodin	758
Elisha Cook	759
John Forsythe	761
Philippe Noiret	762
Michel Piccoli	763
Frederick Stafford	764
John Vernon	765
Dany Robin	766
Karin Dor	767
Claude Jade	768
Sean Connery	770
Diane Baker	771
Bruce Dern	772
Martin Gabel	773
Louise Latham	774
Bob Sweeney	775
Milton Selzer	776
Montgomery Clift	778
Anne Baxter	779
Karl Malden	780
Brian Aherne	781
Dolly Haas	782
O.E. Hasse	783
Roger Dann	784
Charles Andre	785
Judson Pratt	786
Charles Laughton	789
Maureen O'Hara	790
Robert Newton	791
Leslie Banks	792
Mervyn Jones	793
Herbert Lomas	794
Emlyn Williams	795
Edwin Greenwood	796
Oscar Homolka	799
Sylvia Sidney	800
John Loder	801
Desmond Tester	802
Matthew Boulton	803
Austin Trevor	804
Torin Thatcher	805
Aubrey Mather	806
Henry Kendall	808
Joan Barry	809
Percy Marmont	810
Betty Amann	811
Elsie Randolph	812
Hannah Jones	813
Sandra Bullock	816
Nicole Kidman [Gillian]	817
Dianne Wiest	818
Stockard Channing	819
Aidan Quinn	820
Alexandra Artrip	821
Evan Rachel Wood	822
Joseph Fiennes [a young Will Shakespeare]	825
Geoffrey Rush [Philip Henslowe]	826
Ben Affleck [Ned Alleyn]	827
Judi Dench	828
Simon Callow	829
Jim Carter	830
Martin Clunes	831
Antony Sher	832
Imelda Staunton	833
Tom Wilkinson	834
Mark Williams	835
Mark Williams (I)	836
Danny Aiello	838
Jeff Daniels	839
Julie Kavner	840
J. R. Horne	841
Emily Watson [Angela]	844
Robert Carlyle [Malachy]	845
Joe Breen [Young Frank]	846
Ciaran Owens	847
Michael Legge [Older Frank]	848
Ronnie Masterson	849
Pauline McLynn	850
Liam Carney	851
Eanna MacLiam	852
Shane Murray-Corcoran	853
Andy Garcia	856
Lance Henriksen	857
Kathy Baker	858
Graham Beckel	859
Kevin Conway	860
James Fleet	863
Charlotte Coleman	864
David Bower	865
Woody Allen [Ray Winkler]	867
Tracey Ullman [Frenchy]	868
Hugh Grant [David]	869
Elaine May [May]	870
Jon Lovitz [Benny]	871
Michael Rapaport [Would-be bank robber Denny]	872
Tony Darrow [Tommy]	873
Brian Markinson	874
George Grizzard	875
Elaine Stritch	876
Frank Wood	877
Joaquin Phoenix	882
Matt Dillon	883
Illeana Douglas	884
Casey Affleck	885
Alison Folland	886
Dan Hedaya	887
Kurtwood Smith	888
Holland Taylor	889
Joan Plowright	892
Natasha Richardson	893
Adrian Dunbar	894
Brad Pitt	897
Morgan Freeman	898
Kevin Spacey	899
John Cassini	900
Bob Mack	901
Peter Crombie	902
R. Lee Ermey	903
Richard Portnow	904
Daniel Zacapa	905
Andy Walker	906
Mark Boone Junior	907
Dominique Jennings	908
Alec Baldwin	911
Josef Sommer	912
Bebe Neuwirth	913
George C. Scott	914
Tobin Bell	915
William Duff-Griffin	916
Debrah Farentino	917
David Bowe	918
Ann Cusack	919
Anjelica Huston	921
Ron Rifkin	922
Joy Behar	923
Anthony Hopkins	926
Christopher Reeve	927
Tim Pigott-Smith	928
James Fox	929
Peter Vaughan	930
Helena Bonham Carter	932
Olympia Dukakis	933
F. Murray Abraham	934
Claire Bloom	935
Michael Rapaport	936
Mira Sorvino	937
Jack Warden	938
Peter Weller	939
Charlie Sheen	942
James Gandolfini	943
Christopher McDonald	944
Brooke Langton	945
 Miou-Miou	949
 Renaud	950
Jean Carmet	951
Judith Henry	952
Jean-Roger Milo	953
Laurent Terzieff	954
Bernard Fresson	955
Anny Duperey	956
Eddie Constantine	960
Anna Karina	961
Akim Tamiroff	962
Howard Vernon	963
Laszlo Szabo	964
Olivier Martinez	967
Pierre Arditi	968
François Cluzet	969
Jean Yanne	970
Claudio Amendola	971
Michael Keaton	973
Harris Yulin	974
Eugene Levy	975
Richard Masur	976
Zack Duhame	977
Katie Schlossberg	978
Michael Milhoan	979
Toni Collette	982
Alan Cumming	983
Jeremy Northam	984
Ewan McGregor	985
Greta Scacchi	986
Juliet Stevenson	987
Sophie Thompson	988
Phyllida Law	989
James Cosmo	990
Denys Hawthorne	991
Kathleen Byron	992
Edward Woodall	993
Brett Miley	994
Brian Capron	995
Karen Westwood	996
Paul Williamson	997
Rebecca Craig	998
Angela Down	999
John Franklyn Robbins	1000
Ruth Jones	1001
James Stewart	1003
Kim Novak	1004
Barbara Bel Geddes	1005
Tom Helmore	1006
Henry Jones	1007
Raymond Bailey	1008
Ellen Corby	1009
Konstantin Shayne	1010
Lee Patrick	1011
Paul Bryar	1012
Roland Got	1013
Jack Richardson	1014
Grace Kelly	1016
Wendell Corey	1017
Thelma Ritter	1018
Raymond Burr	1019
Judith Evelyn	1020
Sara Berner	1021
Frank Cady	1022
Georgine Darcy	1023
Ingrid Bergman	1025
Claude Rains	1026
Louis Calhern	1027
Reinhold Schunzel	1028
Moroni Olsen	1029
Ivan Triesault	1030
Alexis Minotis	1031
Wally Brown	1032
Robert Donat	1034
Madeleine Carroll	1035
Lucie Mannheim	1036
Peggy Ashcroft	1037
Godfrey Tearle	1038
John Laurie	1039
Wylie Watson	1040
Helen Haye	1041
Frank Cellier	1042
Tom Cruise	1044
Jack Nicholson	1045
Demi Moore	1046
Kevin Bacon	1047
James Marshall	1048
J.T. Walsh	1049
Kiefer Sutherland	1050
Kevin Pollak	1051
Wolfgang Bodison	1052
Cuba Gooding	1053
Marisa Tomei	1056
Ralph Macchio	1057
Mitchell Whitfield	1058
Fred Gwynne	1059
Chris Ellis	1060
William Holden	1064
Lee Grant	1065
Jonathan Scott-Taylor	1066
Lew Ayres	1067
Robert Foxworth	1068
Nicholas Pryor	1069
Lucas Donat	1070
Allan Arbus	1071
Timothy Balme	1074
Diana Penalver	1075
Diana Peñalver	1076
Elizabeth Moody	1077
Ian Watkin	1078
Marlon Brando	1081
Al Pacino	1082
James Caan	1083
Robert Duvall	1084
Talia Shire	1085
Sterling Hayden	1086
John Cazale	1087
Richard Castellano	1088
John Marley	1089
Richard Conte	1090
Al Lettieri	1091
Abe Vigoda	1092
Gianni Russo	1093
Rudy Bond	1094
Morgana King	1095
Richard Bright	1096
Alex Rocco	1097
Tony Giorgio	1098
Vito Scotti	1099
Julie Gregg	1100
Angelo Infanti	1101
Franco Citti	1102
Saro Urzi	1103
Sofia Coppola	1104
Joe Spinell	1105
Michelle Pfeiffer [Catwoman]	1107
Danny DeVito [Penguin]	1108
Christopher Walken	1109
Cristi Conaway	1110
Andrew Bryniarski	1111
Paul Reubens	1112
Martin Lawrence	1115
Téa Leoni	1116
Tcheky Karyo	1117
Joe Pantoliano	1118
Lisa Boyle	1119
Julio Mechoso	1120
John Salley	1121
Michael Jai White	1124
John Leguizamo	1125
Theresa Randle	1126
Nicol Williamson	1127
D.B. Sweeney	1128
Melinda Clarke	1129
Miko Hughes	1130
Sydni Beaudoin	1131
Michael Papajohn	1132
Frank Welker	1133
Robia La Morte	1134
Caroline Gibson	1135
Mertin Sheen	1136
Sylvester Stallone	1139
Rob Schneider	1140
Armand Assante	1141
Diane Lane	1142
Joan Chen	1143
Balthazar Getty	1144
Joanna Miles	1145
Wesley Snipes [Blade]	1148
Stephen Dorff [Frost]	1149
Kris Kristofferson [Whistler]	1150
N'Bushe Wright [Dr. Karen Jenson]	1151
Donal Logue [Quinn]	1152
Traci Lords [Racquel]	1153
Udo Kier	1154
Kevin Patrick Walls	1155
Arly Jover [Mercury]	1156
Eric Edwards - II [The gelatinous information source known as Pearl]	1157
Sanaa Lathan [Vanessa]	1158
Shannon Lee	1159
Hugh Jackman [Logan]	1162
Patrick Stewart [Charles Xavier]	1163
Ian McKellen [Erik Lensherr]	1164
Famke Janssen [Jean]	1165
James Marsden [Scott Summers]	1166
Anna Paquin	1167
Halle Berry [Storm]	1168
Rebecca Romijn-Stamos	1169
Bruce Davison	1170
Shawn Ashmore	1171
Tyler Mane	1172
Ray Park [Toad]	1173
Matthew Sharp	1174
Patrick Swayze	1177
Jennifer Grey	1178
Jerry Orbach	1179
Cynthia Rhodes	1180
Jack Weston	1181
Kelly Bishop	1182
Lonny Price	1183
Max Cantor	1184
Neal Jones	1185
Miranda Garrison	1186
Garry Goodrow	1187
Piper Perabo [Violet Sanford]	1190
Maria Bello [Lil]	1191
Tyra Banks [Zoe]	1192
Adam Garcia [Kevin]	1193
Bridget Moynahan [Rachel]	1194
John Goodman	1195
Michael Weston	1196
Vincent Schiavelli	1197
Melanie Lynskey [Gloria]	1198
Izabella Miko [Cammie]	1199
Pauley Perrette	1200
LeAnn Rimes	1201
Adam Alexi-Malle	1202
Alex Borstein	1203
Sharon Stone	1206
George Dzundza	1207
Leilani Sarelle	1208
Mitch Pileggi	1209
Kayla Blake	1210
Bruce Willis	1213
Milla Jovovich	1214
Gary Oldman	1215
Ian Holm	1216
Luke Perry	1217
Chris Tucker	1218
Brion James	1219
"Tom ""Tiny"" Lister"	1220
Lee Evans	1221
Charlie Creed-Miles	1222
John Neville	1223
John Bluthall	1224
Mathieu Kassovitz	1225
Maiwenn Le Besco	1226
Christopher Fairbank	1227
Kim Chan	1228
Richard Leaf	1229
Julie T. Wallace	1230
Al Matthews	1231
John Bennett	1232
Ivan Heng	1233
Sonita Henry	1234
Tim McMullan	1235
Hon Ping Tang	1236
George Khan	1237
John Hughes	1238
Robert Bryce	1239
Said Talidi	1240
Justin Lee Burrows	1241
Richard Ashton	1242
Jerome Blake	1243
Bill Reimbold	1244
Colin Brooks	1245
Anthony Chinn	1246
Sam Douglas	1247
Derek Ezenagu	1248
David Kennedy	1249
David Barrass	1250
Mac McDonald	1251
Jean-Luc Caron	1252
Riz Meedin	1253
Jerry Ezekiel	1254
Indra Ove	1255
Nicole Merry	1256
Stacey McKenzie	1257
Rachel Willis	1258
Genevieve Maylam	1259
Josie Perez	1260
Natasha Brice	1261
Sophia Goth	1262
Martin McDougall	1263
Peter Dunwell	1264
Paul Priestley	1265
Jason Salkey	1266
Stewart Harvey-Wilson	1267
David Fishley	1268
Carlton Chance	1269
Gia Clarke	1270
Vladimir McCrary	1271
Clifton, Lloyd Bryan	1272
Aron Paramor	1273
Alan Ruscoe	1274
Christopher Adamson	1275
Kaleem Janjua	1276
Eve Salvail	1277
Tyrone Tyrell	1278
Kevin Brewerton	1279
Kevin Molloy	1280
Vince Pellegrino	1281
Ian Beckett	1282
Sonny Caldinez	1283
Zeta Graff	1284
Eddie Ellwood	1285
 Yui	1286
Laura De Palma	1287
Michael Culkin	1288
Lenny McLean	1289
Robert Oates	1290
John Sharian	1291
Fred Williams	1292
Sibyl Buck	1293
Sarah Carrington	1294
Grant James	1295
Ali Yassine	1296
Sean Buckley	1297
Dane Messam	1298
Roger Monk	1299
Nathan Hamlett	1300
Cecil Cheng	1301
Scott Woods	1302
Leon Dekker	1303
David Garvey	1304
Stanley Kowalski	1305
Omar Williams	1306
Robert Clapperton	1307
Robert Alexander	1308
Mia Frye	1309
Leo Williams	1310
C. Keith Martin	1311
J.D. Dawodu	1312
Patrick Nicholls	1313
Shaun Davis	1314
Roy Garcia Singh	1315
Alex Georgijev	1316
Marie Guillard	1317
Renee Montemayor	1318
Stina Richardson	1319
Nathan Lane	1322
Vicki Lewis	1323
Maury Chaykin	1324
Eric Christmas	1325
Michael Jeter	1326
Debra Christofferson	1327
Camilla Soeberg	1328
Eric Poppick	1329
Ernie Sabella	1330
William Hickey	1331
Cliff Emmich	1332
Mario Cantone	1333
David Caruso	1336
Laurence Fishburne	1337
Giancarlo Esposito	1338
Victor Argo	1339
Paul Calderon	1340
Janet Julian	1341
Joey Chin	1342
Roger Guenveur Smith	1343
Harold Perrineau	1344
Sammi Davis	1350
Valeria Golino	1351
 Madonna	1352
Amanda De Cadenet	1353
Lili Taylor	1354
Alicia Witt	1355
Jennifer Beals	1356
David Proval	1357
Antonio Banderas	1358
Salma Hayek	1359
Lawrence Bender	1360
Virginia Madsen	1363
Eric Stoltz	1364
Amanda Plummer	1365
Bruce Willis [Harry Stamper]	1367
Billy Bob Thornton [Dan Truman]	1368
Liv Tyler [Grace Stamper]	1369
Ben Affleck [A.J. Frost]	1370
"Will Patton [Charles ""Chick"" Chapple]"	1371
Keith David	1372
Steve Buscemi [Rockhound]	1373
Michael Clarke Duncan	1374
William Fichtner	1375
Owen Wilson	1376
Charles Stewart	1377
Andrew Heckler	1378
Anthony Guidera	1379
Bodhi Elfman	1380
Clark Brolly	1381
Grayson McCouch	1382
Greg Collins	1383
Jessica Steen	1384
Ken Campbell	1385
Marshall Teague	1386
Erik Per Sullivan	1387
Peter White	1388
Donald Sutherland	1391
Caroline Goodall	1392
Dennis Miller	1393
Kelly Preston	1396
Joseph Cross	1397
Mark Addy	1398
Andrew Lawrence	1399
Henry Rollins	1400
Dweezil Zappa	1401
Paul F. Tompkins	1402
Brendan Fraser [Adam]	1405
Alicia Silverstone [Eve]	1406
Sissy Spacek	1407
David Foley	1408
Joey Slotnick	1409
John Travolta	1411
Harvey Keitel	1412
Ving Rhames	1413
Rosanna Arquette	1414
Maria De Medeiros	1415
Steve Buscemi	1416
Angela Jones	1417
Peter Greene	1418
Duane Whitaker	1419
Frank Whaley	1420
Alexis Arquette	1421
Julia Sweeney	1422
Johnny Depp [Ichabod Crane]	1424
